S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name,Type of work,,What is it,Number of bids,Amount,Bid winner,Org name,Tender ref number,Tender description,Tender type,number of bids received,name of bidder,address of bidder,contract value,tender published date
201,16-Oct-2020 12:00 AM,08-Jul-2020 10:00 AM,Est.No.133203 of 2020-21 Prov.22 kv 100 Kva DRC to Primary Health Center for Covid-19 at Kshetra Mahuli at satara Dist.Satara./ Etender No.08 of 2020.21 / 2020_PWDM_591910_2,Maharashtra,Works,,Covid Prevention,3,515972,Bright Electricals,,,,,,,,,
202,12-Aug-2020 12:00 AM,08-Jul-2020 9:00 AM,Providing Barricading for Roads and Buildings for COVID-19 Contentment Zones in Ward C/3 in KDMC/ KDMC/PWD/2020-21/8-3 / 2020_KDMC_592004_1,Maharashtra,Works,,Covid Preventiob,3,349532,jha p and compony,,,,,,,,,
203,12-Aug-2020 12:00 AM,08-Jul-2020 9:00 AM,Providing Barricading for Roads and Buildings for COVID-19 Contentment Zones in Ward E/10 in KDMC/ KDMC/PWD/2020-21/8-10 / 2020_KDMC_592096_1,Maharashtra,Works,,Covid Preventiob,4,312392,Vandana Majoor Kamgar Sahakari Sanstha Maryadit,,,,,,,,,
204,12-Aug-2020 12:00 AM,08-Jul-2020 9:00 AM,Providing Barricading for Roads and Buildings for COVID-19 Contentment Zones in Ward G/8 in KDMC/ KDMC/PWD/2020-21/8-8 / 2020_KDMC_592071_1,Maharashtra,Works,,Covid Preventiob,4,267830,Vandana Majoor Kamgar Sahakari Sanstha Maryadit,,,,,,,,,
205,12-Aug-2020 12:00 AM,08-Jul-2020 9:00 AM,Providing Barricading for Roads and Buildings for COVID-19 Contentment Zones in Ward F/6 in KDMC/ KDMC/PWD/2020-21/8-6 / 2020_KDMC_592051_1,Maharashtra,Works,,Covid Prevention,4,399608,Vandana Majoor Kamgar Sahakari Sanstha Maryadit,,,,,,,,,
206,12-Aug-2020 12:00 AM,08-Jul-2020 9:00 AM,Providing Barricading for Roads and Buildings for COVID-19 Contentment Zones in Ward B/2 in KDMC/ KDMC/PWD/2020-21/8-2 / 2020_KDMC_591963_1,Maharashtra,Works,,Covid Prevention,3,449538,RAVI ENTERPRISES,,,,,,,,,
207,12-Aug-2020 12:00 AM,08-Jul-2020 9:00 AM,Providing Barricading for Roads and Buildings for COVID-19 Contentment Zones in Ward D/5 in KDMC/ KDMC/PWD/2020-21/8-5 / 2020_KDMC_592040_1,Maharashtra,Works,,Covid Prevention,3,349629,jha p and compony,,,,,,,,,
208,24-Jul-2020 12:00 AM,07-Jul-2020 6:00 PM,"&amp;#x0d; 1Providing Breakfast,Tea,Lunch And dinner to Covid Care Center and IQ Center/ Health/07/2020-21 / 2020_DMA_592093_1",Maharashtra,Services,,Covid Diet,7,4320000,ASHIRWAD CATERERS,,,,,,,,,
209,30-Sep-2020 12:00 AM,07-Jul-2020 11:25 AM,PURCHASE OF Medicine and Consumables For COVID-19/ E-2/CSJ/MS/Medicine and Consumables/2020-21 / 2020_DHS_591539_1,Maharashtra,Goods,,Covid Treatment,25,17293000,"girish medicose,Snehal Pharma And Surgicals Pvt. Ltd.,M/S KABRA MEDICALS,VISHAL ENTERPRISE,jaya enterprises,Chandak Medical Stores,K K DRUGS,CHHABRA AGENCIES,Delpha Drugs and Pharmaceuticals India,SAFFRON NATURELE PRODUCTS PVT. LTD.","Disp gloves -4.2/piece, shoe rubber till knee - 288, dead body suit -350, prednisalone - 135/500 mg, surgical glover -9.75, face shielf -20.4, PPE kit -295, oseltamavir - 250/75 ml,",,,,,,,,
210,07-Aug-2020 12:00 AM,04-Jul-2020 12:00 PM,"Supply of Bed, Mattress, Pillow, Bedsheet, Sheet etc for Isolation and Separtion center under covid -19 in MBMC Area/ MBMC/PWD/Tender/27_3/2020-21 / 2020_MBMC_591016_1",Maharashtra,Goods,,Covid Treatment,6,2400,SHREEJI DECORATORS AND CATERERS,,,,,,,,,
211,06-Aug-2020 12:00 AM,04-Jul-2020 10:00 AM,Renovation and Repairs to Isolation Ward No.31 32 and 28 In Sub District Hospital at Mukhed Tq. Mukhed Dist. Nanded (Dedicated Under Corona Covid-19 Health Care/ PWD/DEGLOOR/2020-21/ENo.05/OW No.1382 / 2020_PWR_591085_1,Maharashtra,Works,,Covid Ward,5,7491385,"Kutti construction,M/s. Govindraj Engineers &ampamp Contractors",,,,,,,,,
212,13-Oct-2020 12:00 AM,04-Jul-2020 9:00 AM,pune mahanagarpalikemarfat ubharnyat alelya Covid Care Center v alagikaran kaksha karita vividh sahitya puravane./ CSD/04/Health/03/2020-21 / 2020_PMCP_590968_1,Maharashtra,Works,,Covid Prevention,5,1552095,ANJANI ASSOCIATES,,,,,,,,,
213,16-Jul-2020 12:00 AM,03-Jul-2020 10:00 AM,"Providing of CCTV Survilance system with installation, Configration, Maintanance and removal at the CONTAINMENT Zone of COVID-19 for Mointoring, Vigilance and recording to control the Situcation Pandemic COVID-19 at Wardha District/ SPWardha/02/2020 / 2020_DGPMU_590736_1",Maharashtra,Services,,Covid Prevention,3,910,"Dolphin Logic Systems PVT LTD,Darsh Technologies,BKV Solution",,,,,,,,,
214,26-Aug-2020 12:00 AM,02-Jul-2020 9:00 AM,Special repair of Govt. Medical College Chhainsa (Erstwhile Gold Field Institute of Medical Science and Research Faridabad) For Establishment of Exclusive of Exclusive COVID 19 Hospital in Faridabad District (MG AND ALLIED WORK)./ PWD (Elect.) 2020 / 2020_HRY_133957_1,Haryana,Works,,Covid Treatment,2,19951550,"Malani Construction Co.,Medical Products Service",,,,,,,,,
215,09-Jul-2020 12:00 AM,01-Jul-2020 5:00 PM,Sypply of Patato Pulses and Hand Sanitizer at different Primary and Upper Primary School within Din II Dev Block jurisdiction under Coocked MDM Programme due to Covid 19./ NIT NO 01/BDO/DIN-II/2020-21 l / 2020_DMCB_287951_1,West Bengal,Works,,Covid Prevention,3,1599224,SHYAMAL BOSE,,,,,,,,,
216,09-Jul-2020 12:00 AM,01-Jul-2020 5:00 PM,Sypply of Patato Pulses and Hand Sanitizer at different Primary and Upper Primary School within Din II Dev Block jurisdiction under Coocked MDM Programme due to Covid 19./ NIT NO 01/BDO/DIN-II/2020-21 l / 2020_DMCB_287951_2,West Bengal,Works,,Covid Prevention,3,835540.02,DILIP KUMAR ROY,,,,,,,,,
217,11-Aug-2020 12:00 AM,30-Jun-2020 3:00 PM,Estimate to provide the electrification work of Covid Hospital at Khristiyo Seva Sadan (London Mission Hospital) situated at Ward No - 03 under Jiaganj - Azimganj Municipality./ NIeT No - 09/2020 / 2020_MAD_287574_2,West Bengal,Works,,Covid Ward,4,2263716.58,GIRIDHARI SAHA,,,,,,,,,
218,11-Aug-2020 12:00 AM,30-Jun-2020 3:00 PM,Renovation for establishment of COVID Hospital at Khristiyo Seva Sadan (London Mission Hospital) situated at Ward No - 03 under Jiaganj - Azimganj Municipality./ NIeT No - 09/2020 / 2020_MAD_287574_1,West Bengal,Works,,Covid Ward,4,4320567.42,GIRIDHARI SAHA,,,,,,,,,
219,15-Dec-2020 12:00 AM,30-Jun-2020 10:00 AM,Estimate No.111611 of 2019.20 Prov. 13 KWP On Grid Solar PV Panel system in B.C Boys Hostel (Covid-19 Quarantine center) at Shirol Tal.Shirol Dist.Kolhapur./ eTender Notice No.06 of 2020.21 / 2020_PWDM_589427_3,Maharashtra,Works,,Covid Ward,3,741271,Pruthviraj Electrical,,,,,,,,,
220,10-Oct-2020 12:00 AM,30-Jun-2020 10:00 AM,Est no OW/TESDTUS/1148/2019-20 Providing 100 KVA DG set with AMF panel and allied switchgears and cables for Quarantine patient due to COVID-19 CORONA virus at Nandore Ashram School Palghar./ E TENDER NOTICE NO 09 OF 2020-2021 / 2020_PWDM_589496_1,Maharashtra,Works,,Covid Ward,2,1024072,Chitte Electrical contracor,,,,,,,,,
,10-Oct-2020 12:00 AM,30-Jun-2020 10:00 AM,"Est.no.OW/TESDTUS/1147/2019-20 Providing Additional water purifier, water storage water heater and street light for Quarantine patient due to COVID-19 CORONA virus at Nandore Ashram School Palghar./ E TENDER NOTICE NO 09 OF 2020-2021 / 2020_PWDM_589488_1",Maharashtra,Works,,Covid Ward,2,395433,Chitte Electrical contracor,,,,,,,,,
